x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
6.0,22.5,-65.66745296,-57.70552801,-97.41487815,-65.95786892,-67.34943412,-60.16703723,-66.06146961,-73.58089414,-63.51781986,-56.63098082,-78.73299611,-64.06120946,-64.93368527,-63.48350907,-66.22998781,-67.20158307
6.0,21.0,-67.93986533,-65.6724205,-71.21697144,-71.61568641,-76.25710936,-65.05128955,-65.52827016,-70.18488562,-73.19180847,-61.58382433,-70.84823543,-62.82395587,-66.59760191,-69.88096335,-73.82379322,-76.05889009
6.0,19.5,-64.96166691,-73.69834973,-69.12760964,-62.52006026,-70.70230103,-61.94417588,-67.25914853,-65.95969351,-63.95239027,-66.46726167,-68.18741877,-64.12111174,-68.01683382,-65.9242367,-68.76726979,-65.42556645
6.0,18.0,-65.72136575,-65.54560377,-68.69126688,-58.74730817,-94.135022,-64.89116538,-64.63033889,-66.22415024,-64.88341379,-66.50883895,-66.5195979,-57.95280321,-73.33386709,-68.48442144,-70.74986303,-67.05181093
6.0,16.5,-67.12167338,-61.45801518,-97.65092739,-70.81992762,-75.67120539,-90.49831259,-61.35249247,-98.53748585,-67.55234818,-66.97734153,-69.89970333,-59.14878569,-68.16320169,-63.11835222,-65.47746501,-73.67188923
6.0,15.0,-69.20317703,-65.66610542,-87.33668622,-58.65876355,-79.52865418,-60.56906955,-63.38837091,-65.43824116,-67.3715624,-65.47362515,-76.46514576,-60.63360608,-71.12242,-61.27127421,-70.43459081,-62.24821487
6.0,13.5,-71.63772316,-74.10215091,-77.46772089,-58.70284658,-72.37707855,-56.69433899,-58.49185126,-65.91260083,-69.29191566,-66.5148358,-82.13639131,-58.80487596,-75.38283094,-58.97177222,-61.28995919,-63.66371157
6.0,12.0,-70.36564339,-73.54307527,-73.54618259,-64.0805911,-70.0390691,-56.63183189,-57.86469901,-76.84259003,-74.53195814,-64.44749907,-70.27833639,-62.12161754,-71.15490397,-60.28739529,-61.6034257,-70.69711536
6.0,10.5,-71.63123988,-71.57418469,-65.71697107,-68.74927419,-73.07170968,-62.08681633,-66.99267887,-70.88986657,-73.52099245,-68.33741908,-67.68565771,-65.42665226,-72.26963661,-63.06963407,-68.08270561,-64.50286009
6.0,9.0,-76.60084796,-70.72350805,-69.02419087,-64.62518094,-73.77312645,-63.30729627,-74.67164917,-66.19140028,-74.43631872,-72.55171032,-70.25340055,-62.06262085,-73.73008094,-59.22366624,-68.20814944,-70.93998577
6.0,7.5,-71.21082831,-97.86224559,-70.96813886,-60.73845828,-68.63461459,-64.48680184,-58.6626548,-79.22060317,-73.28787243,-72.53601699,-73.62878293,-65.85863777,-69.72159514,-57.81841122,-59.36868493,-79.45661628
6.0,6.0,-73.90936634,-78.48954801,-71.62979007,-62.21543653,-72.65113711,-57.86449245,-59.67015083,-74.51145445,-72.44973211,-73.94266559,-72.01588585,-69.44844988,-74.15889619,-63.75465524,-61.14482932,-71.88396996
6.0,4.5,-73.63149101,-71.37618136,-74.96351101,-82.20943896,-68.41273473,-56.91657466,-65.55745099,-68.24466319,-68.09383243,-69.14822885,-77.90234826,-73.60904797,-65.9743979,-60.31559333,-63.50703039,-66.62151759
6.0,3.0,-72.51785616,-64.13310209,-73.38330021,-62.05724967,-65.79959952,-56.23225289,-59.06740344,-70.37946749,-70.11724284,-67.19062677,-80.85015201,-67.53283296,-64.0635369,-54.76911123,-63.14861141,-68.83058397
6.0,1.5,-76.99635331,-73.58658843,-73.66776167,-66.27912923,-63.3626476,-57.05855105,-60.7844041,-73.7087081,-76.80396771,-68.11201516,-73.44526961,-64.06325914,-63.20694184,-57.13886306,-62.91414027,-74.64061221
7.5,1.5,-73.72192842,-78.66993701,-77.76202343,-65.82464349,-65.3119147,-63.71150453,-58.46589941,-65.96684864,-77.64892613,-68.90675867,-75.81014928,-67.07748398,-64.64031588,-63.12796087,-60.11436628,-62.74093001
