x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
7.5,1.5,-77.64892613,-68.90675867,-75.81014928,-67.07748398,-64.64031588,-63.12796087,-60.11436628,-62.74093001,-73.99824827,-68.86603307,-76.95148489,-71.09760975,-63.57464248,-65.07559168,-61.11960706,-63.58588967
7.5,3.0,-75.05174482,-66.6474726,-77.4779042,-66.88426686,-67.8072629,-62.71046145,-56.6697639,-62.66759342,-73.08427535,-70.18166243,-77.4353974,-67.68318251,-68.82942792,-57.99293563,-61.38026233,-61.81313756
7.5,4.5,-78.25804763,-73.66009096,-75.18770745,-72.54678636,-73.30456774,-63.81367708,-60.68471281,-64.24736846,-72.92624953,-73.07925035,-75.31564548,-70.46398702,-69.19680697,-60.94296373,-61.65349318,-61.77975296
7.5,6.0,-71.9562754,-76.88169027,-79.67737278,-70.56773022,-71.86432713,-61.42976081,-57.02879352,-73.38586602,-74.32048252,-77.56312148,-79.08836139,-67.28699275,-72.91390211,-60.98706671,-60.89619058,-67.68553111
7.5,7.5,-74.80239263,-65.920175,-69.45391968,-68.19532574,-69.293734,-59.20018451,-63.72226937,-68.53321478,-74.021709,-64.15004941,-71.12540531,-70.8843072,-69.89311287,-59.48135534,-66.46568268,-69.54707054
7.5,9.0,-77.73229154,-73.71962308,-72.97150993,-69.79455292,-68.28708142,-64.11222976,-58.14754372,-71.67058393,-73.00844929,-68.00768424,-69.800256,-67.51525762,-70.43293008,-57.36942738,-59.21515264,-67.79090714
7.5,10.5,-72.64789018,-64.92174115,-72.41778876,-66.12563364,-69.82438503,-58.38004398,-59.38603038,-65.24778079,-70.39181439,-67.7544318,-70.88857458,-66.57207511,-67.77429016,-58.29958583,-61.26625754,-69.55916694
7.5,12.0,-67.61369926,-72.98810491,-67.05179665,-63.09684241,-67.29435475,-58.19928241,-60.42035499,-63.72800136,-69.41312671,-71.14888279,-66.74254949,-65.48943933,-67.91677931,-57.22618007,-62.46788978,-66.06814609
7.5,13.5,-78.709347,-72.68068002,-70.30271201,-64.44752305,-65.87102992,-58.72109467,-58.92970674,-61.15925189,-70.38804203,-72.81139822,-69.74973431,-66.13159903,-66.03982618,-59.22042872,-61.03968461,-63.19763118
7.5,15.0,-69.55845799,-59.79612388,-75.01148194,-65.84835424,-74.69285765,-67.22487363,-67.90706869,-67.53735698,-67.84540208,-59.97885614,-72.08553782,-62.85654472,-73.69228931,-68.32975336,-69.65331724,-67.72802809
7.5,16.5,-71.54621595,-65.80017005,-78.51420079,-65.49770246,-67.7632091,-66.08098366,-69.45822789,-71.63346637,-71.07508264,-66.03322263,-72.97143172,-64.08890344,-63.74215238,-67.95059684,-67.28631553,-69.21883775
7.5,18.0,-70.58360561,-63.69399996,-71.71108072,-67.48918246,-72.94757565,-62.34331953,-67.33168515,-66.77445127,-68.76708357,-62.89958821,-71.48464114,-64.28477482,-66.92901884,-64.08596398,-67.80172444,-72.20994244
7.5,19.5,-68.88440773,-59.15141038,-67.55335702,-66.25904702,-68.85275179,-62.50305848,-63.4750173,-73.89447127,-65.05829653,-58.6528023,-73.66208046,-64.2037461,-68.65309945,-61.55622867,-65.72379448,-70.21595044
7.5,21.0,-69.63492574,-60.45198634,-71.50424998,-61.9890243,-62.62771461,-62.03981112,-63.09651862,-64.23942618,-67.40550251,-59.35115679,-72.34528086,-61.27711098,-71.09052981,-61.78883443,-66.41664055,-68.88093915
7.5,22.5,-74.18984358,-61.59251279,-79.28678154,-66.78891931,-74.27784832,-62.64259133,-62.07886532,-69.14162424,-64.52498855,-58.73463885,-81.73048127,-65.11921592,-73.81048183,-62.27248183,-63.93927032,-75.555213
7.5,24.0,-69.5765584,-54.78387421,-66.31473302,-65.54899938,-69.7209594,-63.8332671,-70.74916159,-67.47568942,-68.73238776,-53.51565105,-65.18560845,-67.9646087,-68.82572604,-65.9515266,-73.70008276,-73.77622384
