x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
10,2,-96.47820213,-64.5432533,-66.72238761,-72.69642299,-64.4795641,-57.19783042,-49.41437651,-72.32732693,-76.1213996,-70.82058283,-68.52012447,-70.69879648,-60.26215353,-59.43066883,-47.12057931,-62.75923374
10,3,-85.98309331,-67.29809415,-66.92557426,-66.23855979,-61.60629704,-56.99404127,-51.48978641,-65.59786361,-72.4467578,-69.4517062,-64.68071217,-69.39054513,-59.54965715,-59.77464198,-49.0645087,-59.57749076
10,4,-69.54169065,-62.71282578,-65.35201862,-65.80248677,-58.38091923,-57.95849077,-51.42457287,-67.27626132,-76.44601181,-67.63687683,-61.71844515,-68.03507578,-60.96519576,-62.64559032,-53.46967754,-62.2977018
10,6,-70.61422761,-61.15602943,-69.11419489,-64.3412795,-59.83685158,-58.93679512,-57.68027202,-61.93908285,-73.09295247,-66.63268926,-65.6643606,-68.77205342,-59.29420896,-64.06344337,-54.87191894,-60.77494715
10,7,-72.2916723,-64.63818824,-64.09473483,-67.65819439,-59.7549482,-64.11058845,-60.95993068,-64.2963299,-71.24407257,-70.10759458,-63.49768708,-65.91541367,-61.16580715,-66.30198524,-58.4652669,-67.51775613
10,8,-76.50709008,-59.52466426,-61.02964088,-64.13589822,-65.47645856,-67.89157282,-55.99830781,-65.36780011,-74.05704704,-61.14923418,-66.87686944,-63.04813916,-63.04045835,-64.21439797,-55.64664845,-62.41515285
10,9,-78.38384597,-66.78376499,-61.74116249,-66.02518663,-62.02358653,-61.34431491,-58.08163998,-62.14808611,-71.58922893,-71.95805141,-62.32895096,-64.96348838,-61.97621057,-61.26125584,-57.405345,-61.22253084
10,10,-71.08678172,-60.6128723,-65.40214303,-64.41157052,-64.7063949,-59.90253717,-55.66199183,-62.1309099,-74.00166594,-61.90099466,-61.4769217,-66.10992002,-61.13227419,-62.18486611,-56.6061964,-61.32921959
10,12,-65.50826714,-61.41862434,-60.88053677,-62.7053572,-67.11205963,-61.55528666,-62.35439039,-64.88975026,-67.72630112,-58.53814758,-64.14092669,-65.21093982,-65.60353178,-61.59136001,-62.68778291,-65.30612492
10,14,-67.29074291,-54.80144193,-65.99248709,-64.50676236,-60.35824911,-68.20251382,-61.316747,-61.19888913,-66.15702617,-61.60836768,-65.93674419,-66.63630105,-61.88968687,-66.5844173,-60.96419731,-63.65695164
11,2,-72.3989643,-64.35193692,-68.42788893,-97.0965373,-60.27729363,-61.00300228,-49.77296771,-65.63370574,-73.15159069,-66.27422658,-65.5412821,-71.37114605,-56.68382854,-64.96628511,-49.8936171,-61.5592157
11,6,-71.79552415,-60.68591221,-69.61488433,-68.48370416,-60.51740878,-62.08893859,-58.75039374,-63.72996924,-70.26189671,-63.86939007,-65.10672092,-71.70065132,-57.66591442,-68.22777089,-55.60406882,-64.52727846
11,12,-70.4356662,-61.10546049,-91.43701505,-66.55273069,-68.3695514,-63.17978704,-63.6850518,-63.01340647,-71.8649285,-59.70684168,-62.02929409,-68.08408577,-64.97522965,-68.47397686,-62.88119312,-66.62569295
12,2,-78.46696086,-66.50314027,-74.30539083,-68.07184766,-55.87807224,-58.49111553,-58.09768867,-55.26331581,-72.80761474,-68.70568981,-68.28976214,-75.32056939,-54.58207993,-67.28086891,-53.7479377,-64.45766135
12,4,-70.23731871,-67.28254204,-69.62987042,-69.80983172,-54.65395084,-62.78947053,-59.86861871,-60.04623055,-73.74475152,-73.02447561,-63.69009971,-75.11532781,-52.28851701,-69.39615742,-55.02316001,-58.5032489
