x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
10,6,-70.61422761,-61.15602943,-69.11419489,-64.3412795,-59.83685158,-58.93679512,-57.68027202,-61.93908285,-72.7691884,-65.1871816,-66.07227576,-68.25548545,-62.18670708,-64.98277955,-56.20043615,-62.02711662
10,7,-72.2916723,-64.63818824,-64.09473483,-67.65819439,-59.7549482,-64.11058845,-60.95993068,-64.2963299,-71.08945114,-66.11200498,-67.93250193,-64.25827038,-61.52884659,-67.21593894,-57.58564211,-67.30657259
10,8,-76.50709008,-59.52466426,-61.02964088,-64.13589822,-65.47645856,-67.89157282,-55.99830781,-65.36780011,-73.12761248,-59.31735509,-64.14730884,-62.94088862,-66.94722008,-65.5042142,-55.09320747,-67.03090386
10,9,-78.38384597,-66.78376499,-61.74116249,-66.02518663,-62.02358653,-61.34431491,-58.08163998,-62.14808611,-73.72834979,-68.28478516,-63.26273894,-61.9956813,-62.03512765,-62.99466941,-57.88874716,-63.71621893
10,10,-71.08678172,-60.6128723,-65.40214303,-64.41157052,-64.7063949,-59.90253717,-55.66199183,-62.1309099,-72.93358286,-59.62017701,-64.20292609,-62.32658495,-66.79127018,-61.50073789,-56.6259628,-63.88958196
10,12,-65.50826714,-61.41862434,-60.88053677,-62.7053572,-67.11205963,-61.55528666,-62.35439039,-64.88975026,-66.78300733,-64.48044086,-63.07068692,-64.65849411,-64.14955953,-62.70796685,-62.76353674,-67.2090291
10,14,-67.29074291,-54.80144193,-65.99248709,-64.50676236,-60.35824911,-68.20251382,-61.316747,-61.19888913,-68.35532562,-56.16679432,-63.44488659,-67.83111348,-63.9103779,-66.79546398,-60.81328668,-64.36814456
11,2,-72.3989643,-64.35193692,-68.42788893,-97.0965373,-60.27729363,-61.00300228,-49.77296771,-65.63370574,-70.87048521,-69.80339634,-68.93229565,-73.10875075,-60.01406472,-62.76562484,-49.7629449,-64.76796186
11,6,-71.79552415,-60.68591221,-69.61488433,-68.48370416,-60.51740878,-62.08893859,-58.75039374,-63.72996924,-71.28930662,-67.17509831,-66.70385676,-69.35213929,-58.90526686,-67.59269854,-57.10182721,-65.2179532
11,12,-70.4356662,-61.10546049,-91.43701505,-66.55273069,-68.3695514,-63.17978704,-63.6850518,-63.01340647,-75.76048819,-59.13082283,-62.20207263,-68.39637639,-65.66596252,-64.6377261,-62.94422717,-67.28215034
12,2,-78.46696086,-66.50314027,-74.30539083,-68.07184766,-55.87807224,-58.49111553,-58.09768867,-55.26331581,-72.37857858,-70.72932749,-69.06312627,-72.6617384,-57.21619923,-66.62918502,-55.33759904,-62.40800361
12,4,-70.23731871,-67.28254204,-69.62987042,-69.80983172,-54.65395084,-62.78947053,-59.86861871,-60.04623055,-73.93285252,-70.39818166,-66.65767186,-73.34273069,-52.95574427,-67.37148316,-55.09942914,-60.0250192
12,5,-68.66494929,-62.56930213,-72.05169872,-72.51501009,-51.89138851,-59.03418941,-55.92753168,-64.72697361,-74.91077135,-67.44318778,-66.31859726,-72.06553152,-53.35701274,-67.93216023,-58.64180851,-64.56171781
12,6,-67.40930281,-60.1650382,-68.117145,-74.20522314,-56.95708373,-57.92580687,-60.54164114,-60.79816327,-71.21136382,-64.60271676,-67.87564518,-73.82972116,-52.27526148,-65.96634188,-58.75378316,-61.75936431
12,7,-69.39816071,-66.72778283,-65.62932672,-75.71872231,-54.28184367,-59.85734992,-60.78517681,-64.84145672,-74.4978934,-68.82577678,-64.53920016,-69.27782131,-55.30385805,-64.62658729,-56.53121701,-63.88442993
12,8,-68.06567985,-64.62251081,-66.79965198,-67.21699674,-53.31148752,-59.82862426,-67.96608787,-60.39012906,-69.75935817,-65.8338333,-61.1497573,-66.27818949,-54.1023826,-63.82973529,-57.72841544,-62.79059592
12,10,-71.6922801,-70.17608994,-58.8768656,-65.75653621,-58.66638781,-61.83202293,-58.43350662,-60.44346942,-72.89872306,-74.48260234,-59.80566059,-65.91202874,-58.84576702,-65.81886156,-57.08138259,-61.9113112
12,11,-72.00124314,-59.42942653,-60.67827684,-66.17594111,-58.97312847,-63.9908936,-64.64725156,-62.06526296,-73.25232472,-61.75962956,-62.30004103,-67.48127275,-62.1892615,-66.67276885,-61.3132892,-63.2551632
12,12,-70.86648655,-65.48896346,-60.45929474,-65.25991414,-59.92958033,-66.58228946,-63.07108918,-64.82414466,-74.83412268,-62.99943031,-58.18699999,-69.126651,-61.05682724,-67.13214509,-61.36573738,-67.70322681
12,13,-74.04586553,-60.40744521,-54.61636096,-65.05185929,-62.99884053,-68.471508,-60.23903023,-62.46385887,-71.92217302,-59.75919195,-52.43194313,-70.10132598,-62.56605206,-68.96547386,-59.11741302,-66.24318622
12,14,-69.75585261,-64.39740883,-63.74851537,-65.55212644,-62.16067068,-68.67314632,-58.84218723,-62.10478039,-70.63543358,-63.82071286,-55.25647113,-71.19456994,-61.20924948,-69.32783016,-58.66594591,-65.17368405
12,15,-67.23200398,-63.05760964,-61.64216313,-65.29832065,-58.68138286,-100.0,-59.09705444,-69.33372274,-68.14040535,-64.06722618,-52.21121765,-70.23767179,-59.98241416,-66.97140209,-59.66154626,-64.37858678
13,2,-79.72982375,-65.37363977,-72.54436847,-69.59209073,-57.83046656,-58.40453363,-58.88347881,-53.20911973,-72.12845892,-69.58067158,-68.43408823,-71.43934597,-56.1852154,-63.86855926,-58.43372099,-54.86844418
13,4,-74.38709651,-71.32455012,-80.784123,-67.10230816,-59.62507964,-58.19347356,-60.2210673,-56.20943997,-71.68174509,-72.76341463,-68.10334035,-70.42478264,-54.07539169,-65.36449104,-57.7940511,-58.76463084
13,12,-93.30001969,-69.16146423,-60.39042196,-62.70745973,-53.12280228,-68.81021509,-58.65636913,-62.23644735,-67.26318791,-66.19666088,-55.33167947,-69.86197106,-59.42273047,-68.31232317,-59.614818,-66.07860711
14,2,-78.90590097,-63.4427761,-70.24817295,-97.42092082,-58.07636064,-58.28508282,-58.67263075,-50.13470065,-71.82812237,-69.84179993,-68.99301362,-73.7317842,-59.54629462,-64.35659217,-58.11568525,-57.97094707
14,4,-73.87098873,-71.22023517,-74.62843069,-67.77611925,-60.2784252,-58.65339702,-59.83765504,-56.67179384,-73.22413763,-71.99624727,-66.26596228,-70.55326562,-53.39291468,-65.76935937,-58.52044908,-60.37214097
14,5,-76.39799065,-66.05877001,-69.5078938,-66.67368231,-52.42748876,-57.19263502,-57.53879313,-58.52972411,-72.48841178,-70.57769592,-67.03299362,-69.80826257,-52.75521627,-66.31195998,-57.20807639,-62.71226698
14,6,-74.84901511,-63.34492297,-68.2525067,-66.37450388,-54.94942986,-58.79252239,-60.98303261,-64.82384395,-74.58701077,-69.29059696,-67.11083849,-67.05943928,-54.59939237,-66.80264932,-60.02219852,-63.28137029
14,7,-74.31419064,-61.88395957,-66.50201369,-63.83575167,-48.31678494,-59.69551136,-69.90143274,-61.88296037,-73.84383701,-67.16189732,-67.59476845,-65.71231684,-46.11186998,-68.81252199,-60.34161617,-61.34112269
14,8,-70.00249736,-64.40451663,-65.33676831,-62.88012885,-55.53124026,-60.56415425,-59.19868398,-61.42801709,-72.11071786,-67.48359901,-65.84563821,-65.74171022,-57.34309132,-67.42387891,-57.26620138,-60.4737413
14,9,-69.82796644,-75.24549048,-65.6742981,-62.63947626,-55.01743111,-64.10499298,-60.12223834,-62.34692674,-72.17063787,-73.94080212,-62.7808096,-67.00042185,-55.48991366,-68.39317154,-58.09653889,-62.48047979
14,10,-66.70821455,-60.44292143,-62.6422572,-61.14698372,-52.67414898,-65.23026445,-67.9380148,-61.6580326,-69.9800612,-63.10629819,-65.13587328,-67.03298988,-55.85822972,-70.7161707,-61.34244487,-62.73105754
14,11,-67.5671683,-65.74868044,-58.64936706,-61.78255125,-49.58271003,-67.60751628,-62.24910258,-60.50812391,-69.34765942,-67.30571759,-65.74317767,-68.33428408,-50.45092323,-70.67842262,-59.4940598,-62.12980933
14,12,-66.45018327,-65.31029596,-62.91899538,-61.65042081,-53.26764237,-66.9361119,-59.21530974,-62.23523876,-68.21276755,-65.3061226,-61.54339978,-67.70556752,-56.56982072,-67.56494892,-57.29319383,-64.68574481
14,13,-66.66642518,-68.21771087,-53.34159077,-61.71072796,-55.95709684,-66.36696221,-58.84275765,-64.37678526,-66.1946982,-67.75767746,-52.19287583,-69.41066105,-59.51458345,-67.13374588,-57.33244205,-68.28406218
