x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
4,4,-68.43676294,-67.37640854,-71.21007156,-61.19913741,-65.29965049,-55.20761483,-58.39559381,-70.15169694,-70.74915194,-67.02674923,-68.55366937,-62.35931092,-60.3176142,-54.53741335,-60.20389839,-73.31080803,-69.91100894,-63.70809023,-66.73827718,-62.69300949,-61.47667266,-56.10912227,-59.72737174,-74.94001014
4,6,-61.11639997,-62.10938358,-70.00178096,-62.73426079,-64.67481252,-90.50950248,-62.74766961,-69.46276757,-64.78019674,-63.46560024,-67.13509896,-64.58494917,-61.49618475,-58.77130452,-59.04203091,-71.6792852,-65.91903702,-63.80492773,-72.32051352,-63.32515984,-61.71832998,-57.92424564,-58.88502925,-71.37943526
4,7,-63.43094702,-59.96530462,-67.30972542,-58.68184587,-63.40867201,-58.38703582,-58.94150532,-65.60054712,-65.74841464,-60.75709168,-65.1157036,-66.57509281,-64.63855794,-57.72160772,-57.51094579,-69.90608847,-67.49704827,-62.14718246,-66.62632034,-66.10232661,-66.64400974,-57.23995453,-56.88816604,-69.8236377
4,8,-66.2335387,-59.62571881,-66.47676151,-58.32177879,-67.13175583,-61.23586168,-63.64614043,-64.6255767,-69.667829,-61.58185445,-65.629064,-55.92094329,-65.43938726,-58.06944959,-60.61495378,-67.9488033,-71.32803981,-61.78774008,-69.49311404,-57.1367943,-62.28966913,-58.1742276,-59.06065299,-70.33699911
4,10,-70.9168849,-57.39403167,-65.31914866,-57.83195941,-66.2319623,-57.23664512,-59.30761846,-64.38925136,-74.25096871,-60.78302106,-60.42109422,-63.46102929,-70.09166621,-57.51625714,-57.99181757,-68.43425731,-70.32029223,-59.5720427,-62.33925455,-61.66660472,-65.20366939,-56.64988897,-57.69976016,-67.00757158
4,12,-62.54767044,-54.24773947,-65.87395802,-60.80813148,-66.19530384,-62.59934084,-62.34654904,-66.08913028,-61.31850862,-57.02897003,-58.44680935,-58.22479689,-68.69769463,-60.40165622,-63.028177,-71.51274412,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489
4,13,-63.31720278,-54.70125078,-69.41222308,-59.64635738,-66.36132515,-60.21668916,-58.87507475,-68.28974047,-66.17437819,-57.33528789,-58.87563131,-63.223047,-71.61478567,-58.27765097,-60.23606477,-73.75313483,-68.49242213,-57.44819799,-59.02294798,-64.27689949,-73.51595293,-59.13973668,-60.78145359,-70.1563597
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806,-65.40715298,-55.06282932,-59.18932894,-62.00326239,-71.25990145,-58.9956547,-59.95956155,-75.01964551,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402
5,2,-66.51243137,-65.03283682,-73.67255357,-65.63449822,-67.78473814,-62.01556963,-56.01828073,-61.74058317,-69.77015842,-64.01084213,-71.01759957,-64.63744394,-63.67585979,-58.70576227,-52.79458075,-61.65327844,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651
5,12,-60.46509266,-54.89349834,-70.58919387,-59.85276646,-66.52445606,-60.50210503,-61.18649494,-65.86835716,-64.66900667,-56.85928485,-60.80828827,-63.59216329,-67.54069744,-59.15736422,-62.71777826,-68.42722918,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019
5,14,-70.23390151,-50.51856837,-65.89391601,-65.52980807,-65.38588713,-58.86735695,-58.69821337,-68.16544709,-66.47749769,-55.09547978,-62.79320641,-66.22607778,-68.71497297,-58.41727504,-60.00235343,-73.11712256,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743
