x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
12,5,-74.56455577,-66.96758111,-66.60585144,-80.11335231,-51.97006888,-66.62601169,-56.83739969,-63.80882018,-74.91077135,-67.44318778,-66.31859726,-72.06553152,-53.35701274,-67.93216023,-58.64180851,-64.56171781
12,6,-67.84764709,-64.78363958,-65.66464409,-77.4339993,-55.25384507,-62.75704703,-57.19731057,-59.6370672,-71.21136382,-64.60271676,-67.87564518,-73.82972116,-52.27526148,-65.96634188,-58.75378316,-61.75936431
12,7,-75.6735194,-67.60003884,-64.81073048,-67.26922434,-51.9915094,-64.63829631,-56.9917399,-62.84777961,-74.4978934,-68.82577678,-64.53920016,-69.27782131,-55.30385805,-64.62658729,-56.53121701,-63.88442993
12,8,-70.25352572,-64.54848622,-61.24223271,-72.68924123,-51.22945161,-63.22246416,-59.14593359,-60.40299413,-69.75935817,-65.8338333,-61.1497573,-66.27818949,-54.1023826,-63.82973529,-57.72841544,-62.79059592
12,10,-69.42676812,-71.61683956,-59.08407651,-68.28413584,-60.58335484,-63.23420606,-59.01971788,-61.04239794,-72.89872306,-74.48260234,-59.80566059,-65.91202874,-58.84576702,-65.81886156,-57.08138259,-61.9113112
12,11,-72.18268735,-63.69379577,-59.86170801,-68.71953335,-68.31990598,-64.71811532,-60.13510834,-63.33051732,-73.25232472,-61.75962956,-62.30004103,-67.48127275,-62.1892615,-66.67276885,-61.3132892,-63.2551632
12,12,-72.65954443,-65.24721931,-59.66374577,-71.04190113,-60.30293071,-66.32046898,-64.03582419,-65.79165805,-74.83412268,-62.99943031,-58.18699999,-69.126651,-61.05682724,-67.13214509,-61.36573738,-67.70322681
12,13,-75.55564806,-65.74450912,-55.12374789,-76.70509133,-65.85203473,-71.21040141,-57.95471403,-67.81552377,-71.92217302,-59.75919195,-52.43194313,-70.10132598,-62.56605206,-68.96547386,-59.11741302,-66.24318622
12,14,-72.67671463,-61.96112759,-57.18073467,-72.12481746,-62.38726582,-69.8323711,-59.69179343,-66.28028562,-70.63543358,-63.82071286,-55.25647113,-71.19456994,-61.20924948,-69.32783016,-58.66594591,-65.17368405
12,15,-70.3110449,-59.28603702,-54.83748012,-66.61513713,-58.89793086,-68.04873586,-60.27679239,-62.7066184,-68.14040535,-64.06722618,-52.21121765,-70.23767179,-59.98241416,-66.97140209,-59.66154626,-64.37858678
13,2,-71.71280675,-67.59350426,-67.64663501,-71.81382257,-55.97701641,-63.43185222,-56.17329278,-54.15666781,-72.12845892,-69.58067158,-68.43408823,-71.43934597,-56.1852154,-63.86855926,-58.43372099,-54.86844418
13,4,-71.56101818,-69.7498301,-68.42375673,-71.29498459,-54.75744104,-64.79155385,-55.75988144,-57.84468968,-71.68174509,-72.76341463,-68.10334035,-70.42478264,-54.07539169,-65.36449104,-57.7940511,-58.76463084
13,12,-72.15862849,-69.98856611,-56.0159823,-71.1272194,-61.87904596,-68.64199726,-59.57995637,-66.08223473,-67.26318791,-66.19666088,-55.33167947,-69.86197106,-59.42273047,-68.31232317,-59.614818,-66.07860711
14,2,-73.75785596,-66.86296648,-64.54129477,-72.79550963,-58.85268433,-65.75944903,-56.88457462,-55.81835828,-71.82812237,-69.84179993,-68.99301362,-73.7317842,-59.54629462,-64.35659217,-58.11568525,-57.97094707
