x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
4,9,-61.93951148,-56.5206622,-65.06080051,-53.39015331,-65.72113292,-59.75964338,-60.33836127,-65.66380452,-64.29117943,-58.18571394,-61.62491194,-56.2564028,-69.20674869,-57.78018761,-63.95047188,-69.3034818
4,11,-61.56504852,-56.72737752,-65.45448652,-58.70265259,-70.95524871,-60.76371675,-60.8517917,-65.5042962,-61.80039652,-57.79197022,-62.64521018,-58.64258406,-71.78727734,-62.26252088,-64.13952313,-67.3256099
4,12,-62.54767044,-54.24773947,-65.87395802,-60.80813148,-66.19530384,-62.59934084,-62.34654904,-66.08913028,-63.20044046,-57.45631264,-60.76444232,-60.49302432,-70.87683456,-60.09204883,-64.77319255,-69.37244489
4,14,-59.85958507,-57.36186905,-65.38500869,-60.4415797,-67.04386835,-60.10414718,-58.29933212,-71.41661806,-66.77753482,-53.37222443,-60.232603,-61.38254603,-67.6043671,-59.78749736,-61.4290729,-70.65195402
4,15,-61.92649574,-54.66117591,-64.68717266,-65.40369621,-67.23073914,-60.21583577,-59.05773755,-70.98822793,-64.06013417,-53.25868279,-63.64822978,-63.93039625,-68.51513631,-60.15308341,-62.12823096,-73.7672321
5,1,-66.1195673,-67.42033808,-71.10291513,-65.51773111,-65.84293096,-57.84615367,-57.31636417,-62.26370481,-69.80869218,-62.94842595,-72.33965063,-73.08733861,-63.60898967,-61.56494134,-57.61014356,-62.42381883
5,2,-66.51243137,-65.03283682,-73.67255357,-65.63449822,-67.78473814,-62.01556963,-56.01828073,-61.74058317,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651
5,3,-69.0392853,-72.80977956,-74.05126692,-63.46124933,-66.1182237,-56.11038129,-52.5346982,-63.03990396,-71.68492013,-61.63582409,-69.1556112,-64.04521247,-64.20075468,-57.0558099,-54.56406627,-62.15058419
5,4,-69.00541558,-67.1511735,-71.58736741,-61.85481535,-70.42855084,-56.20436348,-53.37140253,-65.64034486,-72.95956897,-61.43230773,-70.10105046,-64.30254489,-64.91032097,-56.88051871,-57.17387037,-64.9918274
5,5,-96.84024308,-65.23119202,-67.63334684,-70.88046922,-69.5863662,-57.05000146,-56.60633085,-67.28649388,-74.68034106,-60.94716463,-69.71970334,-69.78911352,-65.9709313,-60.69213868,-58.95696207,-68.06540592
5,6,-88.36280614,-61.15057301,-66.1246387,-61.04770483,-70.26856953,-60.24316068,-62.02082151,-69.04497253,-67.15079034,-62.52090115,-65.25820571,-61.50557842,-64.59534574,-58.07697179,-59.45653704,-69.261603
5,7,-63.61068166,-60.56964888,-67.50442818,-74.25740835,-68.18441246,-62.16789356,-63.13572014,-67.03327871,-64.87832776,-61.91134082,-61.5463562,-66.90181351,-65.86428112,-58.54421434,-57.80097443,-74.63824968
5,8,-66.94786638,-58.00520241,-68.15423016,-58.21377656,-68.08462606,-61.61243565,-58.72189411,-65.74010951,-69.29988333,-61.43196157,-62.03662961,-63.6732379,-61.87324726,-59.29056511,-59.93616403,-69.6026298
5,9,-65.88895376,-58.6386637,-65.47920379,-58.67127501,-69.36976891,-59.29355024,-96.23173364,-65.64036079,-67.85369349,-60.64550381,-59.88215163,-66.58027387,-70.34137247,-58.70481585,-59.61004274,-67.22722838
5,10,-63.52568099,-56.53051604,-66.43057064,-72.35138342,-70.3471431,-61.57648096,-65.72610643,-65.20152307,-64.92343361,-58.78848734,-62.99811344,-62.28388639,-66.61263876,-59.96498657,-58.52740297,-66.67346993
5,11,-68.77786088,-55.86103863,-68.39664396,-58.9067749,-67.20584675,-64.15779558,-59.51637399,-64.18018414,-69.1515574,-59.25560404,-59.83700663,-56.60218091,-67.04211243,-62.50899615,-63.81381987,-70.28062436
5,12,-60.46509266,-54.89349834,-70.58919387,-59.85276646,-66.52445606,-60.50210503,-61.18649494,-65.86835716,-65.51976467,-56.12042561,-61.34396425,-65.38473794,-72.06984304,-60.31394708,-65.65387868,-68.54684019
5,13,-61.90696551,-54.33761549,-67.28552365,-58.76403829,-67.96761503,-58.9840547,-60.13283993,-66.7386642,-71.40643589,-54.0618624,-63.44160605,-62.65404103,-68.87232765,-59.33646167,-64.61821146,-68.16488963
5,14,-70.23390151,-50.51856837,-65.89391601,-65.52980807,-65.38588713,-58.86735695,-58.69821337,-68.16544709,-63.29062762,-50.98522519,-60.49960563,-69.95846567,-66.39659526,-58.18733265,-60.78564841,-73.05712743
