x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
4,6,-61.11639997,-62.10938358,-70.00178096,-62.73426079,-64.67481252,-90.50950248,-62.74766961,-69.46276757,-64.78019674,-63.46560024,-67.13509896,-64.58494917,-61.49618475,-58.77130452,-59.04203091,-71.6792852,-65.91903702,-63.80492773,-72.32051352,-63.32515984,-61.71832998,-57.92424564,-58.88502925,-71.37943526
4,5,-65.23172127,-65.40011439,-71.57882759,-73.55677195,-63.87952496,-54.58012159,-61.45561868,-73.27415713,-67.41675154,-67.6561288,-67.90148006,-64.00355401,-60.16142515,-56.41563162,-61.86811167,-73.70057167,-68.10961924,-63.23117816,-67.13964517,-66.16271119,-59.23521442,-56.68606921,-60.67012837,-72.02839173
4,4,-68.43676294,-67.37640854,-71.21007156,-61.19913741,-65.29965049,-55.20761483,-58.39559381,-70.15169694,-70.74915194,-67.02674923,-68.55366937,-62.35931092,-60.3176142,-54.53741335,-60.20389839,-73.31080803,-69.91100894,-63.70809023,-66.73827718,-62.69300949,-61.47667266,-56.10912227,-59.72737174,-74.94001014
4,3,-67.10051035,-65.49815249,-70.74185651,-71.29392402,-63.12519635,-53.59709636,-55.16181689,-76.70594744,-70.22079246,-63.02814177,-68.4709267,-60.42188567,-60.03799093,-54.70746705,-58.23180293,-69.51664625,-68.62339557,-61.78493438,-69.81813905,-61.12655649,-60.0939179,-54.70755564,-61.37876143,-73.1413272
4,2,-66.78020527,-66.85387439,-68.69235396,-100.0,-62.35671821,-56.07597932,-59.4264934,-96.10309284,-71.64999783,-64.54885471,-68.89731628,-71.39916678,-60.68154658,-56.87659923,-59.47442559,-67.89455726,-70.26786431,-65.4268877,-66.81682263,-74.32465144,-60.24305134,-56.02915706,-62.6736045,-70.26655506
4,1,-65.46677282,-67.32189745,-73.33165822,-74.90426303,-64.7225478,-52.04602568,-57.43261126,-65.579011,-71.0557193,-65.99950296,-69.55132674,-65.04829505,-62.34131258,-56.96368015,-61.58323925,-65.57465405,-74.95816927,-65.39642552,-66.40193023,-65.16200281,-61.69249224,-55.98273744,-61.14790325,-66.02832614
5,1,-66.1195673,-67.42033808,-71.10291513,-65.51773111,-65.84293096,-57.84615367,-57.31636417,-62.26370481,-71.0896217,-64.99545868,-71.47138703,-65.77208348,-62.18240922,-61.97295105,-60.23596134,-61.59229449,-69.80869218,-62.94842595,-72.33965063,-73.08733861,-63.60898967,-61.56494134,-57.61014356,-62.42381883
5,2,-66.51243137,-65.03283682,-73.67255357,-65.63449822,-67.78473814,-62.01556963,-56.01828073,-61.74058317,-69.77015842,-64.01084213,-71.01759957,-64.63744394,-63.67585979,-58.70576227,-52.79458075,-61.65327844,-71.22763201,-61.75970723,-71.07212339,-66.34294492,-62.74257592,-58.43551983,-54.56645785,-62.95969651
5,3,-69.0392853,-72.80977956,-74.05126692,-63.46124933,-66.1182237,-56.11038129,-52.5346982,-63.03990396,-72.38366032,-66.09465313,-71.64484009,-64.61735328,-62.57856297,-55.84931227,-53.31312126,-63.10144151,-71.68492013,-61.63582409,-69.1556112,-64.04521247,-64.20075468,-57.0558099,-54.56406627,-62.15058419
5,4,-69.00541558,-67.1511735,-71.58736741,-61.85481535,-70.42855084,-56.20436348,-53.37140253,-65.64034486,-71.89855202,-66.00252803,-71.12854492,-62.76446435,-64.74401023,-56.80630479,-56.723309,-64.88231094,-72.95956897,-61.43230773,-70.10105046,-64.30254489,-64.91032097,-56.88051871,-57.17387037,-64.9918274
